chamber,name,party,state
Senado,Otto Alencar,PSD,BA
Camara dos Deputados,Otto Alencar Filho,PSD,BA
Camara dos Deputados,Padre João,PT,MG
Camara dos Deputados,Pastor Eurico,PL,PE
Camara dos Deputados,Pastor Gil,PL,MA
Camara dos Deputados,Pastor Sargento Isidório,AVANTE,BA
Camara dos Deputados,Patricia Ferraz,PODE,AP
Camara dos Deputados,Patrus Ananias,PT,MG
Camara dos Deputados,Paula Belmonte,CIDADANIA,DF
Camara dos Deputados,Paulão,PT,AL
Camara dos Deputados,Paulinho Da Força,SOLIDARIEDADE,SP
Camara dos Deputados,Paulo Abi-ackel,PSDB,MG
Camara dos Deputados,Paulo Azi,UNIÃO,BA
Camara dos Deputados,Paulo Bengtson,PTB,PA
Camara dos Deputados,Paulo Eduardo Martins,PL,PR
Camara dos Deputados,Paulo Foletto,PSB,ES
Camara dos Deputados,Paulo Freire Costa,PL,SP
Camara dos Deputados,Paulo Ganime,NOVO,RJ
Camara dos Deputados,Paulo Guedes,PT,MG
Camara dos Deputados,Paulo Magalhães,PSD,BA
Senado,Paulo Paim,PT,RS
Camara dos Deputados,Paulo Pimenta,PT,RS
Camara dos Deputados,Paulo Ramos,PDT,RJ
Senado,Paulo Rocha,PT,PA
Camara dos Deputados,Paulo Teixeira,PT,SP
Camara dos Deputados,Pedro Augusto Bezerra,PDT,CE
Camara dos Deputados,Pedro Augusto Palareti,PP,RJ
Camara dos Deputados,Pedro Cunha Lima,PSDB,PB
Camara dos Deputados,Pedro Lucas Fernandes,UNIÃO,MA
Camara dos Deputados,Pedro Lupion,PP,PR
Camara dos Deputados,Pedro Paulo,PSD,RJ
Camara dos Deputados,Pedro Uczai,PT,SC
Camara dos Deputados,Pedro Vilela,PSDB,AL
Camara dos Deputados,Pedro Westphalen,PP,RS
Camara dos Deputados,Perpétua Almeida,PCdoB,AC
Camara dos Deputados,Pinheirinho,PP,MG
Senado,Plínio Valério,PSDB,AM
Camara dos Deputados,Policial Katia Sastre,PL,SP
Camara dos Deputados,Pompeo De Mattos,PDT,RS
Camara dos Deputados,Pr. Marco Feliciano,PL,SP
Camara dos Deputados,Professora Dayane Pimentel,UNIÃO,BA
Camara dos Deputados,Professor Alcides,PL,GO
Camara dos Deputados,Professora Marcivania,PCdoB,AP
