chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Franco Cartafina,,,PP,MG
Camara dos Deputados,Fred Costa,,,PATRIOTA,MG
Camara dos Deputados,Frei Anastacio Ribeiro,,,PT,PB
Camara dos Deputados,Gelson Azevedo,,,PL,RJ
Camara dos Deputados,Genecias Noronha,https://pt.wikipedia.org/wiki/Genecias_Noronha,Q30931741,PL,CE
Camara dos Deputados,Eliéser Girão Monteiro Filho,https://pt.wikipedia.org/wiki/Eliéser_Girão_Monteiro_Filho,Q59284524,PL,RN
Camara dos Deputados,General Peternelli,https://pt.wikipedia.org/wiki/Roberto_Sebastião_Peternelli_Junior,Q59204171,UNIÃO,SP
Camara dos Deputados,Eugênio José Zuliani,https://pt.wikipedia.org/wiki/Eugênio_José_Zuliani,Q10278180,UNIÃO,SP
Camara dos Deputados,Geovania De Sá,,,PSDB,SC
Camara dos Deputados,Gervásio Maia,,,PSB,PB
Camara dos Deputados,Fernando Giacobo,https://pt.wikipedia.org/wiki/Fernando_Giacobo,Q16940012,PL,PR
Camara dos Deputados,Gilberto Aparecido Abramo,https://pt.wikipedia.org/wiki/Gilberto_Aparecido_Abramo,Q10289540,REPUBLICANOS,MG
Camara dos Deputados,Gilberto Nascimento,https://pt.wikipedia.org/wiki/Gilberto_Nascimento,Q16940201,PSC,SP
Camara dos Deputados,Gil Cutrim,,,REPUBLICANOS,MA
Camara dos Deputados,Gilson Marques,https://pt.wikipedia.org/wiki/Gilson_Marques,Q59203705,NOVO,SC
Senado,Giordano,,,MDB,SP
Camara dos Deputados,Giovani Cherini,https://pt.wikipedia.org/wiki/Giovani_Cherini,Q10289877,PL,RS
Camara dos Deputados,Giovani Feltes,https://pt.wikipedia.org/wiki/Giovani_Feltes,Q19708978,MDB,RS
Camara dos Deputados,Glauber Braga,https://pt.wikipedia.org/wiki/Glauber_Braga,Q10290036,PSOL,RJ
Camara dos Deputados,Glaustin Da Fokus,https://pt.wikipedia.org/wiki/Glaustin_da_Fokus,Q59572957,PSC,GO
Camara dos Deputados,Gleisi Hoffmann,https://pt.wikipedia.org/wiki/Gleisi_Hoffmann,Q457757,PT,PR
Camara dos Deputados,Luiz Gonzaga Patriota,https://pt.wikipedia.org/wiki/Gonzaga_Patriota,Q10320757,PSB,PE
Camara dos Deputados,Greyce Elias,https://pt.wikipedia.org/wiki/Greyce_Elias,Q59004375,AVANTE,MG
